date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:57	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2020%20Apr%202023%2003:47:58%20GMT	https://www.designdetail.io/%22https://assets.website-files.com/600f12837adf215d7d8d23ff/6234d6fe6b7f0ab38f261a5f_HughSlab.jpg%22	D:/works/My%20website/Mark/www.designdetail.io/_https_/assets.website-files.com/600f12837adf215d7d8d23ff/6234d6fe6b7f0ab38f261a5f_HughSlab.jpg_	(from https://www.designdetail.io/)
10:47:58	38475/38475	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Apr%202023%2003:47:58%20GMT	https://www.designdetail.io/portfolio/hughs-detailing	D:/works/My%20website/Mark/www.designdetail.io/portfolio/hughs-detailing.html	(from https://www.designdetail.io/)
10:47:58	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2020%20Apr%202023%2003:47:59%20GMT	https://www.designdetail.io/%22https://assets.website-files.com/600f12837adf215d7d8d23ff/633cd9635888a184e75a8b7f_Detail2UFeature1Compressed.jpg%22	D:/works/My%20website/Mark/www.designdetail.io/_https_/assets.website-files.com/600f12837adf215d7d8d23ff/633cd9635888a184e75a8b7f_Detail2UFeature1Compressed.jpg_	(from https://www.designdetail.io/)
10:47:59	36220/36220	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Apr%202023%2003:48:00%20GMT	https://www.designdetail.io/portfolio/detail-2-u	D:/works/My%20website/Mark/www.designdetail.io/portfolio/detail-2-u.html	(from https://www.designdetail.io/)
10:48:00	77369/77369	---M--	200	added ('OK')	image/jpeg	etag:%22220a84e0bae2d9b667634ff1bfc1ad7d%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/63521a076cc9d857eacf7187_Screenshot%202022-10-21%20at%204.29.59%20am.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/63521a076cc9d857eacf7187_Screenshot%202022-10-21%20at%204.29.59%20am.jpg	(from https://www.designdetail.io/)
10:48:02	72830/72830	---M--	200	added ('OK')	image/jpeg	etag:%22af8aa8a13861cb6b4d239244c201b118%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/6352196ea3992e5f3c884840_Screenshot%202022-10-21%20at%204.27.05%20am.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/6352196ea3992e5f3c884840_Screenshot%202022-10-21%20at%204.27.05%20am.jpg	(from https://www.designdetail.io/)
10:48:03	85192/85192	---M--	200	added ('OK')	image/jpeg	etag:%22da8503c8123a194eb5158d41bcfd0fb0%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/6352194bf5b31697a7b34c2e_Screenshot%202022-10-21%20at%204.30.37%20am.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/6352194bf5b31697a7b34c2e_Screenshot%202022-10-21%20at%204.30.37%20am.jpg	(from https://www.designdetail.io/)
10:48:04	104220/104220	---M--	200	added ('OK')	image/jpeg	etag:%2280ebb3bb908f68499df6b3515e1ecd3b%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/6352192a81aee980ce2a5bc7_Screenshot-2022-10-21-at-4.24.37-am.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/6352192a81aee980ce2a5bc7_Screenshot-2022-10-21-at-4.24.37-am.jpg	(from https://www.designdetail.io/)
10:48:04	58159/58159	---M--	200	added ('OK')	image/jpeg	etag:%223c59c85393408cb4653670e0142363fb%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/635219e726d3626f56766830_Screenshot%202022-10-21%20at%204.35.53%20am.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/635219e726d3626f56766830_Screenshot%202022-10-21%20at%204.35.53%20am.jpg	(from https://www.designdetail.io/)
10:48:05	64428/64428	---M--	200	added ('OK')	image/jpeg	etag:%22797f60590b2099a6e18ad3b39a29e132%22	https://assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c7c77f1907395a9d128_Screenshot%202022-07-12%20at%2011.48.52.jpg	D:/works/My%20website/Mark/assets.website-files.com/6005c2342dc6cd27d99bb17b/62cd5c7c77f1907395a9d128_Screenshot%202022-07-12%20at%2011.48.52.jpg	(from https://www.designdetail.io/)
